File Name,Transcription
call_001_converted.wav,hello good afternoon this is real friend electronics am I speaking with Mr Arun yes that's right 40 inch smart TV from us about 10 months ago we've launched a new 50 inch 4K ultra model and I wanted to let you know about our special exchange offer installation 999 rupees control division
call_002_converted.wav,good afternoon this is Neha calling from Mega Home Appliances were reaching out to our loyal customers with a limited time festive offer I noticed you purchased a washing machine from a slash year and we now have an upgraded energy efficient model with smart features if you exchange your current model you receive a flat 6000 discount Plus free delivery and installation it's quite a is 40% less water and even notification for 6 months if you order today delivery happens within 48 hours details call thank you for choosing Mega Home and Happy shopping
call_003_converted.wav,good afternoon this is I am from Electromagnet special diwali deal on smart TV up to 30% off Plus free installation I see you got a microwave from a slash year so I thought you might want to know about this exclusive offer actually been planning to get a TV for my new apartment I was looking for a 43 inch model prices were a bit high last time I checked that perfect timing we have 43 inch smart TV with built in streaming app for just 2899999 and if you purchase today you will get a free Wall mount installation within 24 hours in similar TVS on other sites but they didn't mention warranty or installation does this include any exchange offer you can exchange for an additional 2000 of during delivery and no interest I can finalize the payment today of course meaning
call_004_converted.wav,hello mum this is Sneha from fresh basket I am cooling about your grocery order placed last Sunday I need to left waiting and I wanted to personally check what went wrong I am glad you called the vegetables I received were completely welted especially the spinach in coriander I had guess that evening and could even use them iPad extra for Express delivery to my channel replacement for the item but this isn't the first time last month the similar thing happened with fruits I like your prices but if this continues I'll have to switch to another app quality control services 250 rupees and 15% discount
call_005_converted.wav,hello this is Karan from urban style furniture you had shown interest in our modular sofa sets online last week I just wanted to follow up are you still looking for a living room set yes but I am still comparing options I like your designs but I am not sure how the colour will match my interior do you offer fabric samples or virtual previews great question we actually provide free fabrics watches to help you decide you can also upload a picture of your living room on app to see how each colour would look using What's the delivery timeline if I order this week it depends on the model for ladies dog delivery takes 5 to 7 days for custom fabrics it's around 14 days we offer free delivery on structure and formula
call_006_converted.wav,good evening this is Priya from trend wear We noticed you purchased a pair of jeans from our store last month or now running an exclusive combo offer buy one get one at 50% off on all Denim styles oh that's interesting I was planning to shop for Diwali anyway I love the fate of the genes I got last time are similar ones included in the offer available in your area you have any discount for first time app orders are usually shop in store online purchase
call_007_converted.wav,hello this is Rakesh from techfix service centre I am calling about your smartphone repair request the charging port issue I see it's been pending for over a week and I wanted to update you personally yes I am quite frustrated I submitted my phone last Friday and nobody has updated me since it's affecting my work I truly apologize for the day we had a pot shortage for your model of the replacement has just arrived your phone will be repaired today and shift back by tomorrow evening helpline Rs 500 to your account please make sure I get it tomorrow complaint you have my assurance delivered thank you for your patience
call_008_converted.wav,hello mam this is Varun from cool home appliances were running a limited time sale on air purifiers since the festive season is near and air quality tends to drop this might be the right time to buy actually thinking of getting one for my parents house the pollution that has got really 600 square feet and comes with each other that remove and even has a sleep timer we also provide free filter replacement for the first year and if you order today we can deliver it within 24 hours at no extra charge included 10% loyalty coupon for your next order thank you for choosing cool home
call_009_converted.wav,hi this is Nisha from 56 retail I noticed you requested a return for your recent quarter set was there an issue with the size of product hi yes I ordered a medium but it's more like a small the fabric is nice to I would like to exchange it is possible of course we can arrange a free size exchange and deliver the new one within 3 to 4 days you just need to select your preferred size in the app that's good to hear from the same colour or can I take another you can choose another colour please go ahead with the exchange for the lavender colour in size large turnover minutes
call_010_converted.wav,good afternoon this is often from Dhaka retail I am calling regarding your invoice for the bluetooth speaker purchased last week you mentioned incorrect GST number I wanted to clarify it for correction yes and I've been waiting for three days for an update I need that invoice from my company reimbursement no one has responded to my email I am really sorry about the day during the invoice generation you will receive the updated bill within the next two hours submission deadline once completely understand person for the inconvenience please restore this won't happen again this time before sending thank you for your patience
call_011_converted.wav,hello this is Kavya from fresh card give recently launched a grocery subscription plan customers can get a central delivered weekly at discounted prices may I share a few details sure but I already groceries weekly using your App different that's a great question with the subscription you get a fixed delivery slide every week 10% off on staples and free delivery it also let you pass or modify items any time for the minimum order value there is no minimum and will handle the rest you also get a 2 0 0
call_012_converted.wav,hi sir this is Rohit from Wood Craft furniture I am calling regarding your dining table order placed last week I regret to inform you there is a two day delay in delivery due to heavy rainfall in your area again that's a second delay this month I have planned a family dinner this weekend why wasn't formed delivery trucks were stuck because of local restrictions but your order has already left the warehouse and will reach by Monday evening free installation and 500 rupee discount coupon on your next purchase tracking updates every 12 hours thank you for your patience
call_013_converted.wav,good afternoon sir this is Priya from freshmart I am following up regarding your last order of fruits and vegetables I saw your feedback mentioned damaged packaging could you please tell me more about what happened yes it was quite frustrating the tomatoes was washed into milk packets were leaking the delivery guy left in a hurry so I couldn't even show him I am really sorry for the inconvenience that's not the experience we want you to have your delivery branch within 24 hours now you really need to Train Your delivery status operations manager 150 rupees
